,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
73514,5564804,2025-08-17 01:25:00+00:00,1,Sunday,August,1,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,30.0,T-intersection,Stop signs,42.28172092,-71.05988955
73516,5564802,2025-07-19 03:49:00+00:00,3,Saturday,July,1,Non-fatal injury,1,5,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Four-way intersection,No controls,42.3293506,-71.05159797
73533,5564784,2025-08-05 23:10:00+00:00,23,Tuesday,August,0,Property damage only (none injured),0,3,0,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",40.0,Not at junction,No controls,42.37629907,-71.02885165
73535,5564782,2025-08-14 06:06:00+00:00,6,Thursday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,,Four-way intersection,Traffic control signal,42.29587929,-71.09220759
73538,5564779,2025-08-23 06:40:00+00:00,6,Saturday,August,1,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Front,,T-intersection,No controls,42.2990022,-71.08141003
73543,5564774,2025-08-22 22:38:00+00:00,22,Friday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,25.0,Not at junction,No controls,42.35529919,-71.13273221
73560,5564757,2025-08-23 13:15:00+00:00,13,Saturday,August,1,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Rear,,T-intersection,Stop signs,42.3125026,-71.09622429
73570,5564747,2025-08-16 09:38:00+00:00,9,Saturday,August,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,55.0,Not at junction,No controls,42.31678173,-71.05123185
73571,5564746,2025-08-16 07:00:00+00:00,7,Saturday,August,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,T-intersection,Traffic control signal,42.28199792,-71.05890387
73574,5565296,2025-08-25 07:56:00+00:00,7,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,,T-intersection,Not reported,42.30204436,-71.06008689
